aleatorio,grado,cercania,harmonica,pagerank,intermediacion,num_ataques
9,9,9,9,9,9,0.0
9,9,9,9,9,9,0.0004
9,9,9,9,9,9,0.0008
9,9,10,10,9,10,0.0012
9,10,10,10,10,10,0.0016
9,10,10,10,10,10,0.002
9,10,10,10,10,10,0.0024
9,10,10,10,10,10,0.0028
9,10,10,10,10,10,0.0032
9,10,10,11,10,11,0.0036
9,10,10,11,10,11,0.004
9,10,10,11,10,11,0.0044
9,11,10,11,11,11,0.0048
9,11,10,11,11,11,0.0052
9,11,10,11,11,11,0.0056
9,11,10,11,11,11,0.006
9,11,11,11,11,11,0.0064
9,11,11,11,11,11,0.0068
9,11,11,11,11,11,0.0072
9,11,11,11,11,11,0.0076
9,11,11,11,11,11,0.008
9,11,11,11,11,11,0.0084
9,11,11,11,11,11,0.0088
9,11,11,11,11,11,0.0092
9,11,11,11,11,11,0.0096
9,11,11,11,11,11,0.01
9,11,11,11,11,11,0.0104
9,11,11,11,11,11,0.0108
9,11,11,11,11,11,0.0112
9,11,11,11,11,11,0.0116
9,11,11,11,11,12,0.012
9,11,12,11,11,12,0.0124
9,11,12,11,11,12,0.0128
9,11,12,11,11,12,0.0132
9,11,12,11,11,12,0.0136
9,11,12,11,11,12,0.014
9,11,12,11,11,12,0.0144
9,11,12,11,11,12,0.0148
9,11,12,12,11,12,0.0152
9,11,12,12,11,12,0.0156
9,11,12,12,11,12,0.016
9,11,12,12,11,12,0.0164
9,11,12,12,12,12,0.0168
9,12,12,12,12,13,0.0172
9,12,12,12,12,13,0.0176
9,12,12,12,12,13,0.018
9,12,12,12,12,13,0.0184
9,12,13,12,12,13,0.0188
9,12,13,12,12,13,0.0192
9,12,13,12,12,13,0.0196
9,12,13,12,12,13,0.02
9,12,13,12,12,13,0.0204
9,12,13,12,12,13,0.0208
10,12,13,12,12,13,0.0212
10,12,13,12,12,13,0.0216
10,12,13,12,12,13,0.022
10,12,14,13,12,13,0.0224
10,12,14,13,12,13,0.0228
10,12,14,13,12,14,0.0232
10,12,14,13,12,14,0.0236
10,12,14,13,12,14,0.024
10,12,14,13,12,14,0.0244
10,12,14,13,12,15,0.0248
10,12,14,13,12,15,0.0252
10,12,14,13,12,15,0.0256
10,12,14,13,12,15,0.026
10,12,14,13,12,15,0.0264
10,12,14,13,12,15,0.0268
10,12,15,13,12,15,0.0272
10,12,15,13,12,15,0.0276
10,12,15,13,12,15,0.028
10,12,15,13,12,15,0.0284
10,12,15,13,12,15,0.0288
10,12,15,13,12,16,0.0292
10,12,15,13,12,16,0.0296
10,12,16,13,12,16,0.03
10,12,16,13,12,16,0.0304
10,13,16,13,12,16,0.0308
10,13,16,13,13,16,0.0312
10,13,16,13,13,17,0.0316
10,13,16,13,13,17,0.032
10,13,16,13,13,17,0.0324
10,13,16,13,13,17,0.0328
10,13,16,13,13,17,0.0332
10,13,16,13,13,18,0.0336
10,13,16,13,13,18,0.034
10,13,16,13,13,18,0.0344
10,13,16,13,13,18,0.0348
10,13,16,13,13,18,0.0352
10,13,16,13,13,18,0.0356
10,13,17,13,13,18,0.036
10,13,17,13,13,18,0.0364
10,13,17,13,13,18,0.0368
10,13,17,14,13,18,0.0372
10,13,17,14,13,18,0.0376
10,13,17,14,13,18,0.038
10,13,18,14,13,19,0.0384
10,13,18,14,13,19,0.0388
10,13,18,14,13,19,0.0392
10,13,18,14,13,19,0.0396
10,13,18,14,13,19,0.04
10,13,18,14,13,19,0.0404
10,13,18,14,13,20,0.0408
10,13,18,15,13,20,0.0412
10,13,19,15,14,20,0.0416
10,13,19,15,14,20,0.042
10,13,19,15,14,20,0.0424
10,13,19,15,14,20,0.0428
10,13,19,15,14,20,0.0432
10,13,19,15,14,20,0.0436
10,13,19,15,14,20,0.044
10,13,19,15,14,22,0.0444
10,13,19,15,14,29,0.0448
10,13,19,15,14,29,0.0452
10,13,19,15,14,29,0.0456
10,14,19,15,14,29,0.046
10,14,19,15,14,29,0.0464
10,14,20,15,14,30,0.0468
10,14,20,15,14,31,0.0472
10,14,20,15,14,31,0.0476
10,14,20,15,14,31,0.048
10,14,20,15,14,31,0.0484
10,14,20,15,14,17,0.0488
10,14,21,15,14,17,0.0492
10,14,21,15,14,17,0.0496
10,14,21,15,14,17,0.05
10,14,21,15,14,17,0.0504
10,14,21,15,14,17,0.0508
10,14,21,15,14,17,0.0512
10,14,21,15,14,17,0.0516
10,14,21,15,14,17,0.052
10,14,21,15,14,18,0.0524
10,14,23,15,14,18,0.0528
10,14,23,15,14,20,0.0532
10,14,23,15,14,20,0.0536
10,14,23,16,14,20,0.054
10,14,23,16,14,20,0.0544
10,14,23,16,14,20,0.0548
10,14,23,16,14,21,0.0552
10,14,23,16,14,21,0.0556
10,14,23,16,14,21,0.056
10,14,23,16,14,21,0.0564
10,14,23,16,14,21,0.0568
10,14,23,16,14,21,0.0572
10,14,24,16,14,21,0.0576
10,14,25,16,14,22,0.058
10,14,25,16,14,22,0.0584
10,14,25,16,14,15,0.0588
10,14,25,16,14,15,0.0592
10,14,25,16,14,15,0.0596
10,14,25,16,14,15,0.06
10,14,25,16,14,15,0.0604
10,14,26,16,14,15,0.0608
10,14,26,16,14,15,0.0612
10,14,26,16,14,17,0.0616
10,14,30,16,14,17,0.062
10,14,30,16,14,18,0.0624
10,14,30,16,14,18,0.0628
10,14,30,16,14,19,0.0632
10,14,30,17,14,19,0.0636
10,14,30,17,14,20,0.064
10,14,31,17,14,20,0.0644
10,14,31,17,14,21,0.0648
10,14,31,17,14,21,0.0652
10,14,31,17,14,21,0.0656
10,14,31,17,14,21,0.066
10,14,31,17,14,21,0.0664
10,14,32,17,14,21,0.0668
10,14,35,17,14,23,0.0672
10,14,36,17,15,23,0.0676
10,14,50,17,15,24,0.068
