aleatorio,grado,cercania,harmonica,pagerank,intermediacion,num_ataques
1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0004
1.0,1.0,1.0,1.0,1.0,1.0,0.0008
1.0,1.0,1.0,1.0,1.0,1.0,0.0012
1.0,1.0,1.0,1.0,1.0,1.0,0.0016
1.0,1.0,1.0,1.0,1.0,1.0,0.002
1.0,1.0,1.0,1.0,1.0,1.0,0.0024
1.0,1.0,1.0,1.0,1.0,1.0,0.0028
1.0,1.0,1.0,1.0,1.0,1.0,0.0032
1.0,1.0,1.0,1.0,1.0,1.0,0.0036
1.0,1.0,1.0,1.0,1.0,1.0,0.004
1.0,1.0,1.0,1.0,1.0,1.0,0.0044
1.0,1.0,1.0,1.0,1.0,1.0,0.0048
1.0,1.0,1.0,1.0,1.0,1.0,0.0052
1.0,1.0,1.0,1.0,1.0,1.0,0.0056
1.0,1.0,1.0,1.0,1.0,1.0,0.006
1.0,1.0,1.0,1.0,1.0,1.0,0.0064
1.0,1.0,1.0,1.0,1.0,1.0,0.0068
1.0,1.0,1.0,1.0,1.0,1.0,0.0072
1.0,1.0,1.0,1.0,1.0,1.0,0.0076
1.0,1.0,1.0,1.0,1.0,1.0,0.008
1.0,1.0,1.0,1.0,1.0,1.0,0.0084
1.0,1.0,1.0,1.0,1.0,1.0,0.0088
1.0,1.0,1.0,1.0,1.0,1.0,0.0092
1.0,1.0,1.0,1.0,1.0,1.0,0.0096
1.0,1.0,1.0,1.0,1.0,1.0,0.01
1.0,1.0,1.0,1.0,1.0,1.0,0.0104
1.0,1.0,1.0,1.0,1.0,1.0,0.0108
1.0,1.0,1.0,1.0,1.0,1.0,0.0112
1.0,1.0,1.0,1.0,1.0,1.0,0.0116
1.0,1.0,1.0,1.0,1.0,1.0,0.012
1.0,1.0,1.0,1.0,1.0,1.0,0.0124
1.0,1.0,1.0,1.0,1.0,1.0,0.0128
1.0,1.0,1.0,1.0,1.0,1.0,0.0132
1.0,1.0,1.0,1.0,1.0,1.0,0.0136
1.0,1.0,1.0,1.0,1.0,1.0,0.014
1.0,1.0,1.0,1.0,1.0,1.0,0.0144
1.0,1.0,1.0,1.0,1.0,1.0,0.0148
1.0,1.0,1.0,1.0,1.0,1.0,0.0152
1.0,1.0,1.0,1.0,1.0,1.0,0.0156
1.0,1.0,1.0,1.0,1.0,1.0,0.016
1.0,1.0,1.0,1.0,1.0,1.0,0.0164
1.0,1.0,1.0,1.0,1.0,1.0,0.0168
1.0,1.0,0.9991859991859992,1.0,1.0,0.9991859991859992,0.0172
1.0,1.0,0.999185667752443,1.0,1.0,0.999185667752443,0.0176
